Quarter,City,HPI@Assessment Prices,HPI_Lag1,Repo_Rate,Repo_Rate_Lag1,CPI_Inflation,M3_Growth,GDP_Growth
Dec--2016,Bengaluru,100,98,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Bengaluru,102,100,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Bengaluru,100,102,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Bengaluru,97,100,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Bengaluru,99,97,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Bengaluru,99,99,6,6,134.0333333,9.816666667,7.50
JUN--2018,Bengaluru,102,99,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Bengaluru,107,102,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Bengaluru,109,107,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Bengaluru,111,109,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Bengaluru,113,111,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Bengaluru,117,113,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Bengaluru,118,117,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Bengaluru,117,118,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Bengaluru,116,117,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Bengaluru,116,116,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Bengaluru,116,116,4,4,156.5333333,12.15666667,3.29
Mar-21,Bengaluru,118,116,4,4,156.4,12.37,22.63
Jun-21,Bengaluru,119,118,4,4,159.3,10.7,9.87
Sep-21,Bengaluru,119,119,4,4,162.1,9.59,5.53
Dec-21,Bengaluru,120,119,4,4,165.1333333,10.19666667,4.45
Mar-22,Bengaluru,121,120,4,4,165.6666667,8.633333333,13.49
Jun-22,Bengaluru,123.2,121,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Bengaluru,126.12,123.2,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Bengaluru,129.56,126.12,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Bengaluru,132.32,129.56,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Bengaluru,133.93,132.32,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Bengaluru,136.44,133.93,6.5,6.5,183.8,11.21,9.51
Dec-23,Bengaluru,138.72,136.44,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Bengaluru,143.09,138.72,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Bengaluru,148.13,143.09,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Bengaluru,151.64,148.13,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Bengaluru,156.05,151.64,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Bengaluru,161.84,156.05,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Bengaluru,161.6,161.84,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Bengaluru,168.8,161.6,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Bhopal,90,168.8,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Bhopal,92,90,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Bhopal,93,92,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Bhopal,95,93,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Bhopal,95,95,8,8,115.5666667,10.79333333,8.70
Sep--2014,Bhopal,95,95,8,8,119.3333333,12.56333333,5.92
Dec--2014,Bhopal,94,95,8,8,118.8333333,11.27,7.11
Mar--2015,Bhopal,94,94,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Bhopal,95,94,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Bhopal,94,95,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Bhopal,97,94,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Bhopal,97,97,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Bhopal,97,97,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Bhopal,98,97,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Bhopal,97,98,6.25,6.5,128.2333333,8.233333333,6.29
Mar--2017,Bhopal,97,97,6.25,6.25,128.2333333,7.56,6.11
Jun--2017,Bhopal,99,97,6.25,6.25,129.4333333,6.76,5.32
Sep--2017,Bhopal,98,99,6.083333333,6.25,132.3,6.306666667,6.67
Dec--2017,Bhopal,98,98,6,6.083333333,134.1333333,8.153333333,8.93
Mar--2018,Bhopal,101,98,6,6,134.0333333,9.816666667,7.50
JUN--2018,Bhopal,101,101,6.083333333,6,135.4666667,10.11666667,6.46
SEP--2018,Bhopal,103,101,6.416666667,6.083333333,137.8666667,10.01333333,6.23
Dec-18,Bhopal,104,103,6.5,6.416666667,138.6333333,10.19333333,5.72
Mar-19,Bhopal,102,104,6.333333333,6.5,138.7,10.59333333,5.10
Jun-19,Bhopal,101,102,5.916666667,6.333333333,141.4,10.11666667,4.30
Sep-19,Bhopal,102,101,5.516666667,5.916666667,144.0666667,10.00666667,3.26
Dec-19,Bhopal,104,102,5.15,5.516666667,147.1,10.26666667,2.94
Mar-20,Bhopal,107,104,4.9,5.15,147.7333333,10.07666667,-23.13
Jun-20,Bhopal,109,107,4.133333333,4.9,150.7666667,11.6,-5.84
Sep-20,Bhopal,109,109,4,4.133333333,154.0333333,12.65666667,1.78
Dec-20,Bhopal,108,109,4,4,156.5333333,12.15666667,3.29
Mar-21,Bhopal,105,108,4,4,156.4,12.37,22.63
Jun-21,Bhopal,104,105,4,4,159.3,10.7,9.87
Sep-21,Bhopal,105,104,4,4,162.1,9.59,5.53
